Ref.No,X16,X17,X18,X19,X20,X21,X22,X23
22203,39606,38680,2000,1500,2000,1500,1500,0
1288,13711,8294,12300,32520,34,68,8334,45684
11822,18926,17717,1264,1249,625,700,1000,1000
15085,21071,2099,3008,3000,5000,10000,2099,0
6192,0,0,0,0,0,0,0,0
12894,120375,120897,5009,6125,4001,4013,5000,4015
2279,42221,42935,2000,1700,1500,1700,1568,7400
1282,0,150,0,0,0,0,150,59
13334,10746,8482,1500,1433,1465,0,500,1000
15251,13781,14070,1665,1676,1223,493,511,514
12165,126621,126724,7000,4700,5013,4601,4525,4800
9895,220582,218090,10000,118000,113300,9000,8000,10000
18930,9743,1000,6370,2342,810,10253,1000,7079
16828,5014,1000,0,0,1522,5014,1406,0
16492,19773,19931,3500,1000,2000,900,900,1000
3785,29375,32729,3600,0,1500,1300,4000,0
14665,15978,16560,1600,1600,1000,1000,1000,1000
18146,2413,902,1300,1100,1000,300,0,1261
4376,39135,39049,0,2293,1367,1407,1410,1400
17544,230,-160,1145,1546,1400,390,73,19371
18421,22499,22969,1326,1355,1668,807,834,837
23940,19910,17786,0,2000,1241,633,616,2500
1273,30131,9630,8162,12294,30751,30131,0,0
4811,12565,6947,5000,5045,10288,5000,5000,10000
8334,140386,144042,15047,15000,14000,5008,10055,30015
15711,315,0,278,608,494,315,0,181
16811,96986,94665,6806,4744,4546,3672,3602,4006
13816,101689,101303,5500,6000,4000,4000,4000,3800
20565,18405,16754,2011,2000,2000,1000,1000,1000
9594,300,300,0,0,0,0,0,0
22094,0,0,0,0,0,0,0,0
9479,5588,10161,18057,9368,15771,5616,10173,10077
21812,20266,20511,2000,1000,2000,0,700,0
21541,16482,9082,3000,3000,4000,5000,5000,5000
10636,0,0,2991,2655,0,0,0,0
9923,38433,38378,2700,0,2100,1600,1600,1600
22717,173780,168880,19000,10000,7000,10000,8000,10000
23621,7721,3219,5004,3811,3002,4000,3219,1864
20834,15041,14751,1200,2800,0,1500,0,1000
8398,390,7140,390,780,0,390,7140,1230
8188,78593,59816,4000,10000,0,5000,3000,3000
18865,0,0,4500,2500,1000,0,0,0
3344,296677,230338,20000,12003,10524,11238,8814,9463
1742,3278,0,0,8264,0,3278,0,4646
8325,5973,57200,50836,39033,524,18,57227,422
18603,39276,23440,5519,44776,1502,2026,1015,52100
4809,86482,88164,87998,3017,3029,3127,3433,3356
15384,23253,25871,3400,0,900,0,3000,2000
229,20066,18858,2401,2254,2004,704,707,1004
18318,41389,40628,1950,4300,2000,2938,0,3700
23090,169554,178683,7400,7600,6100,6205,12000,7500
19670,4817,7121,1119,1609,3000,2500,5000,5000
23113,47139,37610,50071,0,2000,2000,2000,2000
16753,38522,38519,1590,1926,1911,1500,1541,1559
5299,19790,20842,25138,2569,793,49,15085,44701
15676,16475,19284,0,3,18950,0,5889,0
6899,130758,123468,7500,10000,0,4500,4500,4179
8122,0,0,4086,2635,1700,0,0,0
13377,28778,24244,2000,5000,2000,17000,1500,2000
5756,15501,15105,0,2905,0,1386,0,600
6989,29074,29671,1,2213,1019,1055,1080,1245
15684,15301,14916,18,1600,1600,1500,0,1000
2621,390,0,2000,1000,3600,390,0,4870
11683,38325,39222,5000,4000,4017,3000,3000,3000
9756,54910,57344,2500,4600,2200,0,3513,3000
7111,59964,44873,43894,61816,39022,10041,15080,46146
23329,2824,9940,2815,27380,10050,3000,9940,12498
3388,6805,0,1188,0,300,6805,0,0
2469,157098,157099,5725,5971,5846,5887,5802,5895
1461,1050,1050,0,0,0,0,0,0
19539,69026,32030,8000,10000,10000,23000,5000,4000
9440,205,0,390,5090,19394,0,3916,3916
17750,4579,4360,1200,1100,0,500,0,500
15950,67419,67711,2400,3040,2400,2500,2450,2500
14780,0,0,1886,1620,0,0,0,0
1302,9135,8613,2452,7,308,320,328,1000
7820,53718,27084,1966,2210,1946,983,1950,946
22866,19454,19851,23190,0,19465,389,397,0
18518,28430,29093,1232,31484,1444,1000,1100,1491
12973,20266,21568,1500,1000,0,900,1800,900
5947,29795,27091,1954,28000,1250,1496,29251,1000
5764,4480,1650,3013,1005,1000,3000,1650,0
14385,38339,80792,1994,18002,3001,9004,45117,40158
14784,0,0,5000,4905,15873,0,0,21657
18891,170092,161850,0,9025,8030,5639,6054,5100
21688,2000,2000,0,0,0,2000,2000,2000
20004,6973,9899,31008,26862,3000,2000,3000,0
7761,2705,1261,19421,0,0,2705,0,1261
12442,301231,325831,15325,16000,15000,11000,30000,20004
22715,0,0,6983,3331,1760,0,0,891
18130,49574,50622,3036,3092,3111,2000,2000,2000
6709,29019,30430,3526,0,1168,1060,1900,0
13906,11498,2392,14045,1030,5183,0,2392,7007
1132,1775,8722,3346,0,465,1775,8722,0
1956,10417,10104,1157,0,1008,584,0,198
4992,213767,214410,11000,10000,7500,8000,8000,7000
15002,59527,60778,5000,4176,4000,3000,2141,3000
12986,104710,107148,3226,4959,5000,2790,5083,0
14351,19933,10921,2000,1200,614,520,335,0
15485,0,0,0,0,0,0,0,0
6285,67560,86315,10000,10000,10000,10000,20000,1718
21174,14239,9562,6408,8840,9954,14285,9584,26023
9841,0,780,2203,0,0,0,780,0
2106,16908,17564,1300,0,2000,0,1240,0
5958,77162,78084,3600,3000,2700,2800,3000,2800
9909,1197,0,0,0,3602,1197,0,474
2513,139245,116431,332,332,142402,6,20032,3022
16718,390,0,0,390,390,390,0,780
15130,131969,134515,1406,133122,136320,5001,5000,5001
23204,77349,10456,20000,0,27549,50000,18956,9307
8076,7856,16544,203,0,0,7856,10000,865
20459,825,825,1650,0,825,825,825,0
10205,81826,83630,2680,2741,2933,6000,3300,0
1069,10526,326,1086,2775,22813,10526,326,573
15535,25392,23367,10000,10000,2000,5000,5000,1000
8781,58957,60317,3000,2100,2100,2300,2500,2500
5485,3681,870,11386,1665,1894,3689,870,1755
21999,104083,106359,4418,5452,5471,4083,4359,3697
21827,152375,158435,6500,7000,8000,6500,8500,5600
7604,23211,23773,3500,0,1500,1500,1100,2100
7277,14373,1270,1400,30,1000,1000,1270,10489
22054,42705,43662,1840,1311,2000,42705,1569,2822
637,6941,4756,1107,1000,1000,1500,2150,0
6663,0,0,0,0,46350,0,0,24000
4454,0,0,300,0,0,0,0,0
13402,122181,130976,2679,120000,5003,5000,10979,5016
14000,107,980,0,5737,922,107,980,648
18501,84569,85771,4000,3061,3019,2987,3174,2996
22602,8455,1462,13184,1700,5190,8455,1462,3641
14506,26798,28321,1415,1800,2200,0,2500,0
9809,3786,6571,28200,720,1344,4674,6571,1814
13570,15804,17443,1000,1000,1000,1000,4024,2000
18486,134230,131986,6000,12600,4900,5105,0,5050
